iter	Passed	Remaining
1607	92790	80325
1608	92839	80261
1609	92888	80195
1610	92936	80129
1611	92985	80064
1612	93034	79999
1613	93083	79934
1614	93133	79869
1615	93181	79804
1616	93231	79739
1617	93282	79676
1618	93330	79610
1619	93380	79546
1620	93429	79481
1621	93480	79418
1622	93528	79352
1623	93579	79288
1624	93628	79223
1625	93688	79168
1626	93747	79112
1627	93798	79048
1628	93858	78992
1629	93911	78931
1630	93968	78873
1631	94021	78812
1632	94082	78757
1633	94182	78735
1634	94244	78681
1635	94294	78617
1636	94344	78552
1637	94393	78488
1638	94442	78423
1639	94492	78359
1640	94542	78295
1641	94592	78232
1642	94656	78179
1643	94707	78116
1644	94757	78052
1645	94807	77989
1646	94860	77927
1647	94909	77862
1648	94959	77798
1649	95009	77735
1650	95058	77670
1651	95109	77607
1652	95158	77543
1653	95209	77479
1654	95261	77418
1655	95314	77356
1656	95365	77293
1657	95413	77228
1658	95461	77163
1659	95508	77097
1660	95556	77032
1661	95605	76967
